Date : 2025-01-23 22:57:43
Directory : c:\Users\olen\Documents\Stream\round 2\chatbot
Total : 72 files,  10332 codes, 402 comments, 1144 blanks, all 11878 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\viewer_data.json             | JSON       |         30 |          0 |          0 |         30 |
| c:\Users\olen\Documents\Stream\round 2\chatbot\src\config.js                        | JavaScript |          6 |          0 |          1 |          7 |
| c:\Users\olen\Documents\Stream\round 2\chatbot\src\events\eventHandlers.js          | JavaScript |         30 |          0 |          6 |         36 |
| c:\Users\olen\Documents\Stream\round 2\chatbot\src\events\responseHandler.js        | JavaScript |        133 |          3 |         16 |        152 |
| c:\Users\olen\Documents\Stream\round 2\chatbot\src\overlays\aiOverlays.js           | JavaScript |         43 |          2 |          7 |         52 |
| c:\Users\olen\Documents\Stream\round 2\chatbot\src\overlays\overlay.html            | HTML       |         34 |          1 |          2 |         37 |
| c:\Users\olen\Documents\Stream\round 2\chatbot\src\overlays\overlays.js             | JavaScript |         34 |          2 |          9 |         45 |
| c:\Users\olen\Documents\Stream\round 2\chatbot\src\spotify\songLearning.js          | JavaScript |        131 |         13 |         17 |        161 |
| c:\Users\olen\Documents\Stream\round 2\chatbot\src\spotify\song_learning.json       | JSON       |         38 |          0 |          0 |         38 |
| c:\Users\olen\Documents\Stream\round 2\chatbot\src\spotify\song_queue.json          | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\olen\Documents\Stream\round 2\chatbot\src\spotify\spotify.js               | JavaScript |        300 |         25 |         48 |        373 |
| c:\Users\olen\Documents\Stream\round 2\chatbot\src\tests\bot.test.js                | JavaScript |        105 |          1 |         14 |        120 |
| c:\Users\olen\Documents\Stream\round 2\chatbot\src\tests\utils\logger.test.js       | JavaScript |         21 |          0 |          4 |         25 |
| c:\Users\olen\Documents\Stream\round 2\chatbot\src\utils\logger.js                  | JavaScript |         11 |          0 |          3 |         14 |
| c:\Users\olen\Documents\Stream\round 2\chatbot\src\utils\openai.js                  | JavaScript |         74 |          7 |         11 |         92 |
| Total                                                                               |            |     10,332 |        402 |      1,144 |     11,878 |
+-------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
